 #as colunas representam na ordem:
 # x(t)             y(t)             vx(t)           vy(t)             t
  -8.00000000      -81.1999969      -5.00000000       13.0000000       143.600098    
  -10.0000000      -76.0000000      -5.00000000       13.0000000       144.000092    
  -12.0000000      -70.8000031      -5.00000000       13.0000000       144.400085    
  -14.0000000      -65.6000061      -5.00000000       13.0000000       144.800079    
  -16.0000000      -60.4000053      -5.00000000       13.0000000       145.200073    
  -18.0000000      -55.2000046      -5.00000000       13.0000000       145.600067    
  -20.0000000      -50.0000038      -5.00000000       13.0000000       146.000061    
  -22.0000000      -44.8000031      -5.00000000       13.0000000       146.400055    
  -24.0000000      -39.6000023      -5.00000000       13.0000000       146.800049    
  -26.0000000      -34.4000015      -5.00000000       13.0000000       147.200043    
  -28.0000000      -29.2000008      -5.00000000       13.0000000       147.600037    
  -30.0000000      -24.0000000      -5.00000000       13.0000000       148.000031    
  -32.0000000      -18.7999992      -5.00000000       13.0000000       148.400024    
  -34.0000000      -13.5999985      -5.00000000       13.0000000       148.800018    
  -36.0000000      -8.39999771      -5.00000000       13.0000000       149.200012    
  -38.0000000      -3.19999743      -5.00000000       13.0000000       149.600006    
  -40.0000000       2.00000286      -5.00000000       13.0000000       150.000000    
  -42.0000000       7.20000315      -5.00000000       13.0000000       150.399994    
  -44.0000000       12.4000034      -5.00000000       13.0000000       150.799988    
  -46.0000000       17.6000042      -5.00000000       13.0000000       151.199982    
  -48.0000000       22.8000050      -5.00000000       13.0000000       151.599976    
  -50.0000000       28.0000057      -5.00000000       13.0000000       151.999969    
  -52.0000000       33.2000046      -5.00000000       13.0000000       152.399963    
  -54.0000000       38.4000053      -5.00000000       13.0000000       152.799957    
  -56.0000000       43.6000061      -5.00000000       13.0000000       153.199951    
  -58.0000000       48.8000069      -5.00000000       13.0000000       153.599945    
  -60.0000000       54.0000076      -5.00000000       13.0000000       153.999939    
  -62.0000000       59.2000084      -5.00000000       13.0000000       154.399933    
  -64.0000000       64.4000092      -5.00000000       13.0000000       154.799927    
  -66.0000000       69.6000061      -5.00000000       13.0000000       155.199921    
  -68.0000000       74.8000031      -5.00000000       13.0000000       155.599915    
  -70.0000000       80.0000000      -5.00000000       13.0000000       155.999908    
  -72.0000000       85.1999969      -5.00000000       13.0000000       156.399902    
  -74.0000000       90.3999939      -5.00000000       13.0000000       156.799896    
  -76.0000000       95.5999908      -5.00000000       13.0000000       157.199890    
  -78.0000000       100.799988      -5.00000000      -13.0000000       157.599884    
  -80.0000000       95.5999908      -5.00000000      -13.0000000       157.999878    
  -82.0000000       90.3999939      -5.00000000      -13.0000000       158.399872    
  -84.0000000       85.1999969      -5.00000000      -13.0000000       158.799866    
  -86.0000000       80.0000000      -5.00000000      -13.0000000       159.199860    
  -88.0000000       74.8000031      -5.00000000      -13.0000000       159.599854    
  -90.0000000       69.6000061      -5.00000000      -13.0000000       159.999847    
  -92.0000000       64.4000092      -5.00000000      -13.0000000       160.399841    
  -94.0000000       59.2000084      -5.00000000      -13.0000000       160.799835    
  -96.0000000       54.0000076      -5.00000000      -13.0000000       161.199829    
  -98.0000000       48.8000069      -5.00000000      -13.0000000       161.599823    
  -100.000000       43.6000061       5.00000000      -13.0000000       161.999817    
  -98.0000000       38.4000053       5.00000000      -13.0000000       162.399811    
  -96.0000000       33.2000046       5.00000000      -13.0000000       162.799805    
  -94.0000000       28.0000038       5.00000000      -13.0000000       163.199799    
